"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","231 Manufacture of glass","Total energy consumption","PJ","2018","8.1"
"Total energy commodities","231 Manufacture of glass","Total energy consumption","PJ","2019","7.7"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2011","0.3"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2012","0.4"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2013","0.2"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2014","0"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2015","0"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2016","0.1"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2017","0.1"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2018","0"
"Total energy commodities","Refractory, other ceramic industry","Total energy consumption","PJ","2019","0.1"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2011","7.9"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2012","7"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2013","6.5"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2014","6.7"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2015","7.5"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2016","7.5"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2017","7.3"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2018","9.5"
"Total energy commodities","233 Manufacture clay building materials","Total energy consumption","PJ","2019","6.9"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2011","3.5"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2012","3.4"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2013","3.5"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2014","3.2"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2015","3.2"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2016","3.5"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2017","3.5"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2018","3.6"
"Total energy commodities","236 Manufacture concrete etc. products","Total energy consumption","PJ","2019","3.6"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2011","3.6"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2012","3.1"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2013","2.9"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2014","2.6"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2015","2.6"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2016","3"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2017","3"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2018","3.2"
"Total energy commodities","Stone dressing, other mineral products","Total energy consumption","PJ","2019","3.1"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1990","120.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1991","114.4"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1992","113.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1993","117.7"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1994","125.1"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1995","126.7"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1996","126.1"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1997","131.1"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1998","127.9"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","1999","123.7"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2000","121.9"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2001","125"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2002","126.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2003","130.3"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2004","135.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2005","134.5"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2006","124.4"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2007","135.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2008","129.7"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2009","101.2"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2010","116.7"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2011","126.6"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2012","115.4"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2013","112.4"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2014","108.9"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2015","112.5"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2016","113"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2017","117.3"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2018","114.8"
"Total energy commodities","24 Manufacture of basic metals","Total energy consumption","PJ","2019","115"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1990","93.3"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1991","88.7"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1992","88.8"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1993","93.8"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1994","100.6"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1995","101.5"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1996","101"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1997","105.4"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1998","100"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","1999","94.6"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2000","91.2"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2001","95.7"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2002","96.6"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2003","101.5"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2004","103.7"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2005","102.9"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2006","95.6"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2007","104"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2008","97.5"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2009","81.5"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2010","91.7"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2011","98.2"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2012","101.4"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2013","98.1"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2014","99.5"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2015","101.2"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2016","101"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2017","106"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2018","103.8"
"Total energy commodities","Iron and steel industry","Total energy consumption","PJ","2019","102.3"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1990","26.9"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1991","25.8"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1992","24.4"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1993","23.8"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1994","24.6"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1995","25.2"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1996","25.1"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1997","25.7"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1998","27.9"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","1999","29.1"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2000","30.7"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2001","29.4"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2002","29.6"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2003","28.8"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2004","31.4"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2005","31.6"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2006","28.8"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2007","31.3"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2008","32.1"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2009","19.7"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2010","25"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2011","28.4"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2012","14"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2013","14.3"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2014","9.4"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2015","11.3"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2016","12"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2017","11.3"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2018","11"
"Total energy commodities","Non-ferrous metal industry","Total energy consumption","PJ","2019","12.7"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1990","37.7"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1991","37.6"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1992","35.8"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1993","36.5"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1994","39"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1995","37.3"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1996","39.1"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1997","39"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1998","40.4"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","1999","42.8"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2000","41.7"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2001","41.1"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2002","41.7"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2003","39.3"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2004","41.6"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2005","41.4"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2006","40.2"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2007","37.4"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2008","38"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2009","37.9"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2010","39.6"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2011","31"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2012","31.5"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2013","30.3"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2014","39.1"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2015","20.4"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2016","21.7"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2017","23"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2018","33.4"
"Total energy commodities","25-28 Metal products and machine indus..","Total energy consumption","PJ","2019","33.8"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","1995","10.1"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","1996","10.3"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","1997","10.2"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","1998","11.2"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","1999","14.3"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2000","11.8"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2001","12.4"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2002","14"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2003","12.3"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2004","12.2"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2005","12.1"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2006","11.7"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2007","10.6"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2008","11.1"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2009","10.4"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2010","11.5"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2011","10.1"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2012","11"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2013","10.5"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2014","10"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2015","9.9"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2016","11.2"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2017","12.2"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2018","11.5"
"Total energy commodities","25 Manufacture of metal products","Total energy consumption","PJ","2019","11.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","1995","7.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","1996","8.5"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","1997","8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","1998","7.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","1999","7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2000","7.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2001","7.3"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2002","6.4"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2003","6.3"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2004","6.4"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2005","6.8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2006","5.8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2007","3.8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2008","3.3"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2009","5.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2010","5.4"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2011","2.1"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2012","1.8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2013","1.8"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2014","1.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2015","1.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2016","1.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2017","1.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2018","1.7"
"Total energy commodities","26 Manufacture of electronic products","Total energy consumption","PJ","2019","1.7"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","1995","13.1"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","1996","13"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","1997","13.4"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","1998","14.4"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","1999","14.2"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2000","15.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2001","14.8"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2002","15"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2003","14.7"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2004","17.4"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2005","16.7"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2006","16.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2007","16.8"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2008","16.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2009","14.8"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2010","16"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2011","13.9"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2012","13"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2013","12.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2014","22.1"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2015","3.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2016","3.5"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2017","3.3"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2018","14.6"
"Total energy commodities","27 Manufacture of electric equipment","Total energy consumption","PJ","2019","15.4"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","1995","6.4"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","1996","7.4"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","1997","7.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","1998","7.2"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","1999","7.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2000","6.6"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2001","6.5"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2002","6.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2003","6"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2004","5.6"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2005","5.9"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2006","6.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2007","6.2"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2008","7.2"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2009","7"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2010","6.6"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2011","4.9"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2012","5.7"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2013","5.5"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2014","5.4"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2015","5.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2016","5.3"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2017","5.7"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2018","5.6"
"Total energy commodities","28 Manufacture of machinery n.e.c.","Total energy consumption","PJ","2019","5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1990","5.8"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1991","5.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1992","5.8"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1993","5.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1994","5.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1995","5.6"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1996","5.7"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1997","5.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1998","5.7"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","1999","5.4"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2000","5.6"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2001","5.7"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2002","5.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2003","5.7"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2004","5.4"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2005","5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2006","4.6"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2007","4.6"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2008","5.4"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2009","5.5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2010","5.6"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2011","4"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2012","3.9"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2013","4.2"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2014","4.3"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2015","4.5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2016","4.5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2017","4.4"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2018","5"
"Total energy commodities","29-30 Transport equipment","Total energy consumption","PJ","2019","4.7"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","1995","2.9"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","1996","3.3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","1997","3.2"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","1998","3.3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","1999","3.2"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2000","3.4"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2001","3.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2002","3.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2003","3.3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2004","3.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2005","2.8"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2006","2.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2007","2.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2008","2.8"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2009","2.4"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2010","2.7"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2011","2.4"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2012","2.3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2013","2.3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2014","2.4"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2015","2.4"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2016","3"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2017","2.9"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2018","3.5"
"Total energy commodities","29 Manufacture of cars and trailers","Total energy consumption","PJ","2019","3.3"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","1995","2.7"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","1996","2.5"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","1997","2.7"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","1998","2.4"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","1999","2.2"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2000","2.2"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2001","2.2"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2002","2.4"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2003","2.3"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2004","1.9"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2005","2.2"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2006","2.1"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2007","2.1"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2008","2.6"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2009","3.1"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2010","2.8"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2011","1.6"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2012","1.6"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2013","1.8"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2014","1.8"
"Total energy commodities","30 Manufacture of other transport","Total energy consumption","PJ","2015","2.1"
