"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1998","200.9"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1999","187.9"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2000","196.5"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2001","204"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2002","183.8"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2003","196"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2004","199.5"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2005","196.6"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2006","197"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2007","211.5"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2008","179.4"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2009","184.6"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2010","184.9"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2011","195.1"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2012","191.1"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2013","177"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2014","181.7"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2015","186.1"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2016","177.5"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2017","168.2"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2018","161.3"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","2019","177.6"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1990","320.6"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1991","327.4"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1992","337.6"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1993","339.5"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1994","346"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1995","347.6"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1996","344.3"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1997","330.5"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1998","342.1"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","1999","319.3"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2000","331"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2001","364.1"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2002","375.2"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2003","378.5"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2004","386.3"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2005","376.9"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2006","351.7"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2007","364.5"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2008","367.5"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2009","381.1"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2010","385.1"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2011","344.7"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2012","328.7"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2013","314.4"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2014","348.8"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2015","375.7"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2016","370.2"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2017","350.4"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2018","317.9"
"Total energy commodities","Total energy companies","Total energy consumption","PJ","2019","316.3"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1990","2319.3"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1991","2406.4"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1992","2377.5"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1993","2426.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1994","2428.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1995","2512"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1996","2686"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1997","2586.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1998","2574.4"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","1999","2568.8"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2000","2571.8"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2001","2605.7"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2002","2635.5"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2003","2734.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2004","2760.5"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2005","2745.4"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2006","2717.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2007","2691.2"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2008","2687.8"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2009","2635.4"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2010","2858"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2011","2652.4"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2012","2683.7"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2013","2638.8"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2014","2457.5"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2015","2494.9"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2016","2543.8"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2017","2587.2"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2018","2572"
"Total energy commodities","Total final users of energy","Total energy consumption","PJ","2019","2511.1"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1990","1087.2"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1991","1069.6"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1992","1066.8"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1993","1056.6"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1994","1107.5"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1995","1134.6"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1996","1162.4"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1997","1174.5"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1998","1163.5"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","1999","1177.8"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2000","1172.5"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2001","1167.8"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2002","1214.7"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2003","1283.1"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2004","1288.7"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2005","1288.5"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2006","1257.9"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2007","1271.8"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2008","1197.3"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2009","1131.4"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2010","1231.6"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2011","1169.7"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2012","1186.2"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2013","1147.1"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2014","1131.8"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2015","1139.1"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2016","1172.3"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2017","1209.9"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2018","1162.6"
"Total energy commodities","Industry (no energy sector)","Total energy consumption","PJ","2019","1114"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1990","1.3"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1991","1.4"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1992","1.2"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1993","1.2"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1994","1.7"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1995","2"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1996","2"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1997","4.3"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1998","6.8"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","1999","7.1"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2000","6.2"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2001","5.1"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2002","5.9"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2003","7.5"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2004","7.6"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2005","6"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2006","6.4"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2007","6"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2008","9.4"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2009","3.5"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2010","10"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2011","6"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2012","6.4"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2013","6.1"
