EstimateElextricConsumptionCleaned
Timestamp,Date and Time,GUESS
1466640000,2016-06-23T00:00:00,5.60692
1466726400,2016-06-24T00:00:00,5.55513
1466812800,2016-06-25T00:00:00,5.64898
1466899200,2016-06-26T00:00:00,5.54683
1466985600,2016-06-27T00:00:00,5.51121
1467072000,2016-06-28T00:00:00,5.51121
1467158400,2016-06-29T00:00:00,5.60416
1467244800,2016-06-30T00:00:00,5.65883
1467331200,2016-07-01T00:00:00,5.80646
1467417600,2016-07-02T00:00:00,5.71351
1467504000,2016-07-03T00:00:00,5.75178
1467590400,2016-07-04T00:00:00,5.7892
1467676800,2016-07-05T00:00:00,5.78227
1467763200,2016-07-06T00:00:00,5.76388
1467849600,2016-07-07T00:00:00,5.71249
1467936000,2016-07-08T00:00:00,5.66181
1468022400,2016-07-09T00:00:00,5.67716
1468108800,2016-07-10T00:00:00,5.70416
1468195200,2016-07-11T00:00:00,5.6596
1468281600,2016-07-12T00:00:00,5.64846
1468368000,2016-07-13T00:00:00,5.59275
1468454400,2016-07-14T00:00:00,5.61503
1468540800,2016-07-15T00:00:00,5.55933
1468627200,2016-07-16T00:00:00,5.60389
1468713600,2016-07-17T00:00:00,5.5649
1468800000,2016-07-18T00:00:00,5.59869
1468886400,2016-07-19T00:00:00,5.51544
1468972800,2016-07-20T00:00:00,5.62722
1469059200,2016-07-21T00:00:00,5.39051
1469145600,2016-07-22T00:00:00,5.17613
1469232000,2016-07-23T00:00:00,4.84754
1469318400,2016-07-24T00:00:00,4.54267
1469404800,2016-07-25T00:00:00,4.26244
1469491200,2016-07-26T00:00:00,4.08674
1469577600,2016-07-27T00:00:00,3.78426
1469664000,2016-07-28T00:00:00,3.80093
1469750400,2016-07-29T00:00:00,3.87595
1469836800,2016-07-30T00:00:00,3.82594
1469923200,2016-07-31T00:00:00,3.94263
1470009600,2016-08-01T00:00:00,4.03016
1470096000,2016-08-02T00:00:00,4.10342
1470182400,2016-08-03T00:00:00,4.23209
1470268800,2016-08-04T00:00:00,4.26412
1470355200,2016-08-05T00:00:00,4.31755
1470441600,2016-08-06T00:00:00,4.47978
1470528000,2016-08-07T00:00:00,4.42126
1470614400,2016-08-08T00:00:00,4.37085
1470700800,2016-08-09T00:00:00,4.25261
1470787200,2016-08-10T00:00:00,4.18955
1470873600,2016-08-11T00:00:00,4.17773
1470960000,2016-08-12T00:00:00,4.09891
1471046400,2016-08-13T00:00:00,4.08708
1471132800,2016-08-14T00:00:00,4.15014
1471219200,2016-08-15T00:00:00,4.18244
1471305600,2016-08-16T00:00:00,4.2669
1471392000,2016-08-17T00:00:00,4.18978
1471478400,2016-08-18T00:00:00,4.25209
1471564800,2016-08-19T00:00:00,4.31834
1471651200,2016-08-20T00:00:00,4.33396
1471737600,2016-08-21T00:00:00,4.37928
1471824000,2016-08-22T00:00:00,4.43445
1471910400,2016-08-23T00:00:00,4.48113
1471996800,2016-08-24T00:00:00,4.60843
1472083200,2016-08-25T00:00:00,4.50659
1472169600,2016-08-26T00:00:00,4.41323
1472256000,2016-08-27T00:00:00,4.36231
1472342400,2016-08-28T00:00:00,4.31563
1472428800,2016-08-29T00:00:00,4.28303
1472515200,2016-08-30T00:00:00,4.3703
1472601600,2016-08-31T00:00:00,4.30283
1472688000,2016-09-01T00:00:00,4.35881
1472774400,2016-09-02T00:00:00,4.45802
1472860800,2016-09-03T00:00:00,4.38995
1472947200,2016-09-04T00:00:00,4.51634
1473033600,2016-09-05T00:00:00,4.47755
1473120000,2016-09-06T00:00:00,4.35258
1473206400,2016-09-07T00:00:00,4.42584
1473292800,2016-09-08T00:00:00,4.43877
1473379200,2016-09-09T00:00:00,4.39567
1473465600,2016-09-10T00:00:00,4.52065
1473552000,2016-09-11T00:00:00,4.45601
1473638400,2016-09-12T00:00:00,4.57128
1473724800,2016-09-13T00:00:00,4.71701
1473811200,2016-09-14T00:00:00,4.74971
1473897600,2016-09-15T00:00:00,4.80807
1473984000,2016-09-16T00:00:00,4.80902
1474070400,2016-09-17T00:00:00,4.85965
1474156800,2016-09-18T00:00:00,4.79214
1474243200,2016-09-19T00:00:00,4.65988
1474329600,2016-09-20T00:00:00,4.60257
1474416000,2016-09-21T00:00:00,4.64666
1474502400,2016-09-22T00:00:00,4.58934
1474588800,2016-09-23T00:00:00,4.57171
1474675200,2016-09-24T00:00:00,4.58934
1474761600,2016-09-25T00:00:00,4.82599
1474848000,2016-09-26T00:00:00,4.96014
1474934400,2016-09-27T00:00:00,5.08147
1475020800,2016-09-28T00:00:00,5.04659
1475107200,2016-09-29T00:00:00,5.09838
1475193600,2016-09-30T00:00:00,5.16751
1475280000,2016-10-01T00:00:00,5.17061
1475366400,2016-10-02T00:00:00,4.9587
1475452800,2016-10-03T00:00:00,4.95399
1475539200,2016-10-04T00:00:00,4.90219
1475625600,2016-10-05T00:00:00,4.99166
1475712000,2016-10-06T00:00:00,5.07642
1475798400,2016-10-07T00:00:00,5.08584
1475884800,2016-10-08T00:00:00,5.19941
1475971200,2016-10-09T00:00:00,5.34291
1476057600,2016-10-10T00:00:00,5.25796
1476144000,2016-10-11T00:00:00,5.21542
1476230400,2016-10-12T00:00:00,5.16078
1476316800,2016-10-13T00:00:00,5.0486
1476403200,2016-10-14T00:00:00,5.05684
1476489600,2016-10-15T00:00:00,4.92058
1476576000,2016-10-16T00:00:00,4.76918
1476662400,2016-10-17T00:00:00,4.76918
1476748800,2016-10-18T00:00:00,4.84992
1476835200,2016-10-19T00:00:00,4.75404
1476921600,2016-10-20T00:00:00,4.78432
1477008000,2016-10-21T00:00:00,4.92563
1477094400,2016-10-22T00:00:00,4.94669
1477180800,2016-10-23T00:00:00,5.00355
1477267200,2016-10-24T00:00:00,5.0807
1477353600,2016-10-25T00:00:00,4.98665
1477440000,2016-10-26T00:00:00,5.03895
1477526400,2016-10-27T00:00:00,5.16475
1477612800,2016-10-28T00:00:00,5.08963
1477699200,2016-10-29T00:00:00,5.08963
1477785600,2016-10-30T00:00:00,5.21341
1477872000,2016-10-31T00:00:00,5.23321
1477958400,2016-11-01T00:00:00,5.25797
1478044800,2016-11-02T00:00:00,5.22826
1478131200,2016-11-03T00:00:00,5.19855
1478217600,2016-11-04T00:00:00,5.02032
1478304000,2016-11-05T00:00:00,5.02323
1478390400,2016-11-06T00:00:00,4.95198
1478476800,2016-11-07T00:00:00,4.94988
1478563200,2016-11-08T00:00:00,5.07696
1478649600,2016-11-09T00:00:00,5.14915
1478736000,2016-11-10T00:00:00,5.21185
1478822400,2016-11-11T00:00:00,5.44774
1478908800,2016-11-12T00:00:00,5.54218
1478995200,2016-11-13T00:00:00,5.4875
1479081600,2016-11-14T00:00:00,5.61674
1479168000,2016-11-15T00:00:00,5.55212
1479254400,2016-11-16T00:00:00,5.67638
1479340800,2016-11-17T00:00:00,5.63165
1479427200,2016-11-18T00:00:00,5.63562
1479513600,2016-11-19T00:00:00,5.58173
1479600000,2016-11-20T00:00:00,5.58059
